Time (s),Current (mA)
16.153337,16.06233025
16.153482,16.05599785
16.153627,16.06699753
16.153772,16.06643105
16.153917,16.50898933
16.154063,16.06283569
16.154208,16.06094742
16.154353,16.07354546
16.154498,16.07536888
16.154643,16.06639290
16.154789,16.08302116
16.154934,16.44916916
16.155079,16.06475830
16.155224,16.06905365
16.155370,16.06988144
16.155515,16.07157516
16.155660,16.09588623
16.155805,16.13636398
16.155951,16.37300873
16.156096,16.09033203
16.156242,16.10206795
16.156386,16.10168266
16.156532,16.09816742
16.156677,16.10217857
16.156822,16.42912483
16.156967,16.23605537
16.157113,16.12237358
16.157258,16.13515091
16.157404,16.12912369
16.157548,16.13519478
16.157694,16.14977074
16.157839,16.56321907
16.157984,16.20492935
16.158130,16.15543365
16.158275,16.17321587
16.158420,16.17486382
16.158565,16.17985535
16.158710,16.18823051
16.158856,16.63230896
16.159001,16.20668793
16.159146,16.20623016
16.159291,16.20583725
16.159437,16.21156883
16.159582,16.21601486
16.159727,16.20731926
16.159872,16.66764069
16.160018,16.23870087
16.160163,16.23577499
16.160312,16.22180176
16.160459,16.22386551
16.160605,16.23050308
16.160750,16.22817993
16.160895,16.68626785
16.161040,16.24952507
16.161186,16.23542213
16.161331,16.24978828
16.161476,16.25603294
16.161621,16.25188828
16.161766,16.25063324
16.161911,16.71360207
16.162057,16.26100349
16.162202,16.25039291
16.162347,16.26063347
16.162492,16.24572945
16.162651,16.23976135
16.162796,16.24069786
16.162941,16.64349937
16.163087,16.25010681
16.163232,16.24418449
16.163377,16.24024010
16.163523,16.23139381
16.163667,16.23078156
16.163813,16.42156219
16.163958,16.43413544
16.164103,16.20919991
16.164248,16.21575165
16.164396,16.20414734
16.164542,16.19926453
16.164688,16.19924164
16.164833,16.56530190
16.164978,16.23900414
16.165123,16.17810059
16.165269,16.17193794
16.165414,16.15287399
16.165560,16.16033173
16.165705,16.16026688
16.165850,17.24440002
16.165995,16.26316833
16.166141,16.14013863
16.166286,16.13287354
16.166431,16.10636711
16.166576,16.10721016
16.166721,16.12108994
16.166866,16.55430031
16.167012,16.11892319
16.167157,16.10246086
16.167303,16.08567047
16.167448,16.08377838
16.167593,16.07369423
16.167738,16.08170700
16.167883,16.52955627
16.168028,16.07120132
16.168174,16.06493378
16.168319,16.06855774
16.168468,16.04866791
16.168615,16.07213974
16.168760,16.05816460
16.168906,16.52545738
16.169051,16.06799316
16.169196,16.06391716
16.169342,16.07011795
16.169487,16.06528282
16.169632,16.06869125
16.169777,16.07109642
16.169922,16.44656944
16.170067,16.06088448
16.170213,16.05424309
16.170358,16.05423927
16.170503,16.06445885
16.170648,16.06688499
16.170803,16.09708023
16.170947,16.42109871
16.171093,16.06393623
16.171238,16.07018852
16.171383,16.06172562
16.171528,16.05582619
16.171674,16.06545639
16.171819,16.34355927
16.171964,16.20963478
16.172110,16.08222389
16.172255,16.07494164
16.172400,16.10467148
16.172547,16.08371925
16.172693,16.10994530
16.172839,16.49015999
16.172984,16.13979340
16.173130,16.11085129
16.173275,16.10389709
16.173420,16.11087799
16.173565,16.10836029
16.173710,16.12528038
16.173855,16.56385040
16.174001,16.13410759
16.174146,16.13894272
16.174292,16.12501717
16.174437,16.14380264
16.174582,16.15124702
16.174727,16.15991783
16.174872,16.61425781
16.175017,16.18720818
16.175163,16.18462372
16.175308,16.19981003
16.175453,16.19115448
16.175598,16.18699455
16.175744,16.20725060
16.175889,16.65391350
16.176034,16.20462608
16.176179,16.19759560
16.176325,16.19920349
16.176470,16.20458412
16.176615,16.23000336
16.176760,16.21679115
16.176906,16.68933296
16.177051,16.22946167
16.177196,16.22386169
16.177341,16.23560143
16.177487,16.24805069
16.177632,16.24113464
16.177777,16.26041031
16.177923,16.64156723
16.178068,16.25407791
16.178213,16.25427818
16.178359,16.25037193
16.178504,16.23893738
16.178649,16.25805092
16.178794,16.24558067
16.178939,16.65390778
16.179085,16.26045418
16.179230,16.25626945
16.179375,16.26410484
16.179520,16.24052238
16.179665,16.24746323
16.179811,16.39110374
16.179956,16.47738838
16.180101,16.22846222
16.180246,16.22723007
16.180392,16.22150040
16.180537,16.21217537
16.180682,16.21083069
16.180827,16.87813187
16.180973,16.64714050
16.181118,16.20226097
16.181264,16.19312668
16.181408,16.20020103
16.181554,16.18282318
16.181699,16.18872833
16.181845,16.59255028
16.181989,16.19187355
16.182135,16.16347885
16.182280,16.14931297
16.182426,16.14226532
16.182571,16.15831375
16.182716,16.13733482
16.182861,16.58391190
16.183006,16.14870644
16.183152,16.12243652
16.183297,16.11957550
16.183442,16.11693192
16.183588,16.10723305
16.183733,16.10449791
16.183878,16.55250740
16.184023,16.10530281
16.184168,16.08330917
16.184313,16.08059311
16.184459,16.08621216
16.184604,16.08203125
16.184749,16.08404732
16.184894,16.52640915
16.185040,16.07863998
16.185185,16.07616806
16.185330,16.06150246
16.185475,16.07087708
16.185621,16.07350540
16.185766,16.05884171
16.185911,16.52619743
16.186057,16.06595421
16.186202,16.05504417
16.186347,16.06504250
16.186492,16.04829979
16.186637,16.04788208
16.186783,16.05313873
16.186928,16.44936371
16.187074,16.05035973
16.187219,16.06378937
16.187364,16.06437302
16.187509,16.04292107
16.187655,16.05972672
16.187800,16.06797028
16.187945,16.44495964
16.188090,16.06448174
16.188236,16.06335258
16.188381,16.07471466
16.188526,16.06586838
16.188671,16.06319809
16.188816,16.31648445
16.188961,16.24967957
16.189107,16.08267403
16.189252,16.09228897
16.189397,16.08714676
16.189543,16.09647560
16.189688,16.07231140
16.189833,16.48035812
16.189978,16.17030907
16.190123,16.12096405
16.190269,16.11749077
16.190414,16.12697220
16.190559,16.13532639
16.190704,16.13391304
16.190850,16.57093620
16.190995,16.16191673
16.191141,16.15385056
16.191286,16.16640472
16.191431,16.15044403
16.191576,16.17119789
16.191721,16.17133141
16.191866,16.60004997
16.192012,16.17256737
16.192157,16.17499733
16.192303,16.18085861
16.192448,16.18862152
16.192593,16.19659996
16.192738,16.19818687
16.192883,16.66935539
16.193028,16.21332932
16.193174,16.20859718
16.193319,16.22813797
16.193464,16.22416496
16.193609,16.23833275
16.193755,16.23755074
16.193900,16.68020058
16.194045,16.24742508
16.194190,16.24156570
16.194336,16.24889565
16.194481,16.24364853
16.194626,16.24282265
16.194771,16.26369095
16.194917,16.70737648
16.195062,16.24542618
16.195207,16.26253700
16.195352,16.25878716
16.195497,16.24866104
16.195643,16.24716187
16.195788,16.25915337
16.195933,17.38378525
16.196078,16.23941994
16.196223,16.22796059
16.196369,16.24850655
16.196514,16.23251915
16.196659,16.23542595
16.196804,16.27195358
16.196950,16.53812027
16.197095,16.22683716
16.197240,16.19993591
16.197385,16.21549225
16.197531,16.20896149
16.197676,16.19920540
16.197821,16.48415947
16.197966,16.33514214
16.198112,16.18486023
16.198257,16.18794632
16.198402,16.17631721
16.198547,16.16684151
16.198693,16.15896416
16.198838,16.55582237
16.198983,16.19100571
16.199128,16.14408875
16.199274,16.13443184
16.199419,16.12985802
16.199564,16.12987709
16.199709,16.11922836
16.199854,16.55276871
16.199999,16.12434578
16.200145,16.10712242
16.200290,16.10380173
16.200435,16.09712410
16.200580,16.08688736
16.200726,16.09014130
16.200871,16.53070641
16.201016,16.10263252
16.201161,16.08137894
16.201307,16.08597374
16.201452,16.07738495
16.201597,16.06987953
16.201742,16.06443596
16.201888,16.53040314
16.202033,16.05868912
16.202178,16.06281090
16.202323,16.06656075
16.202469,16.04810143
16.202613,16.06402397
16.202759,16.05784416
16.202904,16.50393867
16.203049,16.05699730
16.203195,16.06603813
16.203340,16.06237984
16.203485,16.05665016
16.203631,16.05688858
16.203776,16.06348038
16.203921,16.44267845
16.204066,16.05942535
16.204212,16.06289673
16.204357,16.04713440
16.204502,16.05317879
16.204647,16.04413414
16.204793,16.05842972
16.204938,16.46246147
16.205084,16.06413078
16.205228,16.06803513
16.205374,16.07131195
16.205519,16.06359291
16.205664,16.07419777
16.205809,16.20742226
16.205955,16.34713173
16.206100,16.09050751
16.206245,16.09452248
16.206390,16.08994865
16.206536,16.10866356
16.206681,16.10200882
16.206826,16.45433235
16.206971,16.21904755
16.207117,16.12990189
16.207262,16.13840103
16.207407,16.14142036
16.207552,16.14171982
16.207698,16.14939880
16.207843,16.56085587
16.207988,16.19789886
16.208133,16.16152763
16.208279,16.16191864
16.208424,16.16479874
16.208569,16.17178154
16.208714,16.17727280
16.208860,16.61696625
16.209005,16.19449425
16.209151,16.19249725
16.209295,16.19080734
16.209441,16.20638084
16.209586,16.20757866
16.209732,16.22748756
16.209877,16.66840172
16.210022,16.22861671
16.210167,16.23831367
16.210313,16.23844147
16.210458,16.24190903
16.210603,16.24440765
16.210748,16.24586487
16.210893,17.47560501
