Time (s),Current (mA)
4.379841,0.79425907
4.379986,0.79764551
4.380131,0.79352969
4.380277,0.79793304
4.380422,0.79313654
4.380567,0.79949576
4.380712,0.79416347
4.380858,0.79438555
4.381003,0.79644346
4.381149,0.79674512
4.381294,0.79605019
4.381439,0.79671252
4.381584,0.80093628
4.381729,0.79413491
4.381875,0.79084212
4.382020,0.80024368
4.382165,0.79411644
4.382310,0.79192621
4.382455,0.79863995
4.382601,0.79944283
4.382746,0.79726899
4.382892,0.79671037
4.383037,0.79309791
4.383182,0.79997450
4.383327,0.79621714
4.383472,0.79742348
4.383617,0.80021489
4.383763,0.79142487
4.383908,0.79548192
4.384053,0.79551017
4.384199,0.80057961
4.384344,0.79078102
4.384489,0.79812032
4.384634,0.79561424
4.384779,0.79621339
4.384925,0.79802054
4.385070,0.79414511
4.385216,0.79547584
4.385360,0.79390460
4.385506,0.79767007
4.385651,0.79911476
4.385796,0.79519027
4.385941,0.79579759
4.386087,0.79496843
4.386232,0.79845667
4.386378,0.79386795
4.386522,0.79978508
4.386668,0.79312623
4.386813,0.79468071
4.386958,0.79938376
4.387103,0.79660231
4.387249,0.79688746
4.387394,0.79613578
4.387539,0.79580986
4.387684,0.79920423
4.387830,0.79721797
4.387975,0.79092985
4.388120,0.79759467
4.388266,0.79873788
4.388411,0.79736656
4.388556,0.79382724
4.388701,0.79747021
4.388846,0.79425120
4.388992,0.79598093
4.389137,0.79490936
4.389282,0.80035549
4.389427,0.79513538
4.389573,0.79849327
4.389718,0.79542869
4.389863,0.79597485
4.390008,0.79906565
4.390154,0.79352552
4.390299,0.80067140
4.390444,0.79286343
4.390589,0.79615623
4.390735,0.79873574
4.390880,0.79709542
4.391025,0.79846889
4.391171,0.79472375
4.391316,0.79540640
4.391461,0.79683071
4.391606,0.80011111
4.391751,0.79724646
4.391896,0.79749298
4.392042,0.79331595
4.392187,0.79742765
4.392332,0.79901069
4.392478,0.79657388
4.392623,0.79486632
4.392768,0.80156815
4.392913,0.79600143
4.393059,0.79632318
4.393204,0.79746616
4.393349,0.79232365
4.393494,0.80055535
4.393640,0.79599911
4.393785,0.80008864
4.393930,0.79453427
4.394075,0.80095673
4.394221,0.79644150
4.394366,0.79273123
4.394511,0.80087721
4.394656,0.79661888
4.394801,0.79760480
4.394946,0.79159391
4.395092,0.80231172
4.395237,0.79728287
4.395383,0.79548192
4.395528,0.79787171
4.395673,0.79896796
4.395818,0.79704863
4.395963,0.79613566
4.396109,0.79070580
4.396254,0.79399222
4.396399,0.79236639
4.396545,0.79340178
4.396689,0.79433036
4.396835,0.79297131
4.396980,0.79644370
4.397125,0.79520851
4.397271,0.79423463
4.397416,0.79617864
4.397561,0.79288387
4.397706,0.79518020
4.397851,0.79623753
4.397997,0.79587513
4.398142,0.79357070
4.398287,0.78972375
4.398432,0.79574054
4.398578,0.79823047
4.398723,0.79036337
4.398868,0.79483366
4.399013,0.79889667
4.399159,0.79621714
4.399304,0.79407763
4.399450,0.79343212
4.399595,0.79476857
4.399740,0.79311395
4.399885,0.79547155
4.400030,0.79424077
4.400175,0.79509079
4.400321,0.79073638
4.400466,0.79750276
4.400612,0.79478687
4.400756,0.79104620
4.400902,0.79642892
4.401047,0.79405761
4.401193,0.79605031
4.401338,0.79530233
4.401483,0.79492772
4.401628,0.79230744
4.401774,0.79882342
4.401919,0.79670024
4.402064,0.79168564
4.402209,0.79797775
4.402355,0.79484993
4.402500,0.79326296
4.402646,0.79780871
4.402791,0.79301834
4.402936,0.79244977
4.403081,0.79744595
4.403226,0.79482174
4.403372,0.79366237
4.403517,0.79941845
4.403662,0.79195058
4.403808,0.79440773
4.403952,0.79618263
4.404098,0.79552263
4.404243,0.79287577
4.404388,0.79614186
4.404534,0.79195684
4.404679,0.79541868
4.404824,0.79559165
4.404969,0.79404920
4.405114,0.79413897
4.405260,0.80083627
4.405405,0.79203826
4.405550,0.79605240
4.405696,0.79383135
4.405841,0.79393131
4.405986,0.79588729
4.406131,0.79665941
4.406276,0.79525775
4.406422,0.79581577
4.406567,0.79638654
4.406713,0.79505789
4.406858,0.79446071
4.407003,0.79847902
4.407148,0.79467672
4.407293,0.79097855
4.407438,0.79602361
4.407584,0.79636788
4.407729,0.79671264
4.407874,0.79565293
4.408019,0.79729295
4.408165,0.79550022
4.408310,0.79839945
4.408455,0.79443455
4.408600,0.79282051
4.408746,0.79351741
4.408891,0.79582167
4.409036,0.79842997
4.409181,0.79287982
4.409327,0.79695469
4.409472,0.79431230
4.409617,0.79380298
4.409762,0.79473406
4.409908,0.79415315
4.410052,0.80081391
4.410198,0.79163677
4.410343,0.79733384
4.410489,0.79199529
4.410634,0.79688585
4.410779,0.79778820
4.410924,0.79395968
4.411069,0.79884374
4.411214,0.79732156
4.411360,0.79353791
4.411505,0.80167556
4.411651,0.79389644
4.411796,0.79727888
4.411941,0.79369056
4.412086,0.80242139
4.412231,0.78959739
4.412376,0.79545724
4.412522,0.79274130
4.412667,0.79352999
4.412812,0.79783714
4.412958,0.79499692
4.413103,0.79481536
4.413248,0.79228061
4.413393,0.79294693
4.413538,0.79637820
4.413684,0.79251522
4.413829,0.79653722
4.413974,0.79511893
4.414119,0.79432046
4.414265,0.79106635
4.414410,0.79615623
4.414555,0.79319972
4.414700,0.79357862
4.414846,0.79385787
4.414991,0.79445261
4.415136,0.79732168
4.415281,0.79609305
4.415427,0.79513347
4.415572,0.79535359
4.415717,0.79171026
4.415862,0.79639035
4.416008,0.79716271
4.416152,0.79265171
4.416298,0.79621327
4.416443,0.79573250
4.416589,0.79357487
4.416734,0.79511899
4.416879,0.79239255
4.417024,0.79653132
4.417170,0.79412675
4.417315,0.79964632
4.417460,0.79562026
4.417605,0.79314470
4.417751,0.79188734
4.417896,0.79612142
4.418041,0.79754585
4.418187,0.79769444
4.418332,0.79251707
4.418477,0.79506195
4.418622,0.79510272
4.418767,0.79450774
4.418913,0.79557151
4.419058,0.79708135
4.419204,0.79498672
4.419348,0.79613191
4.419494,0.79726452
4.419639,0.79200560
4.419784,0.79851145
4.419930,0.79714841
4.420075,0.79793102
4.420220,0.79698968
4.420365,0.79484600
4.420511,0.79601371
4.420656,0.79226065
4.420801,0.79671454
4.420947,0.79100728
4.421092,0.79658610
4.421237,0.79586923
4.421382,0.80095649
4.421527,0.79159600
4.421672,0.79580778
4.421818,0.79504156
4.421963,0.79580373
4.422108,0.79658389
4.422254,0.79695082
4.422399,0.79114997
4.422544,0.79705083
4.422689,0.79697126
4.422834,0.79595453
4.422980,0.79249054
4.423125,0.79982150
4.423271,0.79632515
4.423415,0.79776394
4.423561,0.79295725
4.423706,0.79567546
4.423851,0.79445076
4.423996,0.79697919
4.424142,0.79860950
4.424287,0.79558587
4.424432,0.79558563
4.424577,0.79386997
4.424723,0.79495615
4.424868,0.79635781
4.425013,0.79514748
4.425158,0.79385996
4.425304,0.79872984
4.425449,0.79927355
4.425594,0.79651064
4.425739,0.79156142
4.425885,0.79516381
4.426030,0.79826301
4.426176,0.79544711
4.426320,0.79638255
4.426466,0.79861760
4.426611,0.79501092
4.426756,0.79593819
4.426901,0.79770899
4.427047,0.79396373
4.427192,0.79449558
4.427338,0.79730123
4.427482,0.79469752
4.427628,0.79929805
4.427773,0.79556930
4.427918,0.79844248
4.428063,0.79516804
4.428209,0.79554915
4.428354,0.79633158
4.428499,0.79627633
4.428644,0.79120713
4.428790,0.79514128
4.428935,0.79505569
4.429080,0.79297942
4.429226,0.79352576
4.429371,0.79671466
4.429516,0.79277593
4.429661,0.79568940
4.429806,0.79668379
4.429952,0.79125565
4.430097,0.79352558
4.430242,0.80073452
4.430387,0.79458708
4.430533,0.79400867
4.430678,0.79597092
4.430823,0.79263335
4.430968,0.79441011
4.431114,0.79498249
4.431259,0.79536170
4.431405,0.79239100
4.431550,0.79793888
4.431695,0.79550409
4.431840,0.79233187
4.431985,0.79627240
4.432131,0.79115826
4.432276,0.79971778
4.432421,0.79617059
4.432567,0.79404318
4.432711,0.79770064
4.432857,0.79475033
4.433002,0.79453832
4.433147,0.79370499
4.433293,0.79717284
4.433438,0.79644948
4.433583,0.79254568
4.433728,0.79809791
4.433873,0.79444897
4.434019,0.79662687
4.434164,0.79690391
4.434309,0.79572225
4.434454,0.79505187
4.434600,0.79631114
4.434745,0.79325664
4.434890,0.79438359
4.435035,0.79707319
4.435181,0.79601169
4.435326,0.79718906
4.435471,0.79546964
4.435616,0.79426730
4.435761,0.79500914
4.435906,0.80144346
4.436052,0.79348701
4.436197,0.79884773
4.436343,0.79425913
4.436488,0.79724020
4.436633,0.79680812
4.436778,0.79268831
4.436923,0.79177356
4.437068,0.79928786
4.437214,0.79555911
4.437359,0.79548001
4.437505,0.79694062
4.437650,0.79815710
4.437795,0.79349083
4.437940,0.79658824
4.438085,0.79767019
4.438231,0.79473215
4.438376,0.79770470
4.438521,0.79412866
4.438667,0.79877657
4.438811,0.79157168
4.438957,0.79392707
4.439102,0.79853201
4.439248,0.79506195
4.439393,0.79793686
4.439538,0.79621130
4.439683,0.79882348
4.439828,0.79555100
4.439973,0.80067360
4.440119,0.79780871
4.440264,0.79618484
4.440410,0.79797995
4.440555,0.79529423
4.440700,0.79171449
4.440845,0.79688781
4.440990,0.79652518
